,title,totalRatingCount,authors,image_url,small_image_url
32,A Raisin in the Sun,100,Lorraine Hansberry,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
33,A Room with a View,100,E.M. Forster,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
34,A Separate Peace,100,John Knowles,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
35,A Short History of Nearly Everything,100,Bill Bryson,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
36,A Son of the Circus,100,John Irving,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
37,A Spot of Bother,100,Mark Haddon,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
38,A Supposedly Fun Thing I'll Never Do Again:  Essays and Arguments,100,David Foster Wallace,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
39,A Tale of Two Cities,100,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",https://images.gr-assets.com/books/1344922523m/1953.jpg,https://images.gr-assets.com/books/1344922523s/1953.jpg
40,A Virtuous Woman,100,Kaye Gibbons,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
41,A Walk in the Woods,99,Bill Bryson,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
42,A Walk to Remember,99,Nicholas Sparks,https://images.gr-assets.com/books/1385738968m/3473.jpg,https://images.gr-assets.com/books/1385738968s/3473.jpg
43,A Widow for One Year,100,John Irving,https://images.gr-assets.com/books/1375776653m/4659.jpg,https://images.gr-assets.com/books/1375776653s/4659.jpg
44,A Woman of Substance (Emma Harte Saga #1),99,Barbara Taylor Bradford,https://images.gr-assets.com/books/1330029941m/8155.jpg,https://images.gr-assets.com/books/1330029941s/8155.jpg
45,About a Boy,100,Nick Hornby,https://images.gr-assets.com/books/1382004144m/4271.jpg,https://images.gr-assets.com/books/1382004144s/4271.jpg
46,"Agamemnon (Oresteia, #1)",100,"Aeschylus, Judith Affleck, Philip de May, Patricia E. Easterling, John     Harrison",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
47,"Ahab's Wife, or The Star-Gazer",100,Sena Jeter Naslund,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
48,Airframe,100,Michael Crichton,https://images.gr-assets.com/books/1405420599m/7667.jpg,https://images.gr-assets.com/books/1405420599s/7667.jpg
49,All Families are Psychotic,100,Douglas Coupland,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
50,All the King's Men,100,Robert Penn Warren,https://images.gr-assets.com/books/1342193852m/5527.jpg,https://images.gr-assets.com/books/1342193852s/5527.jpg
51,All the Names,100,"José Saramago, Margaret Jull Costa",https://images.gr-assets.com/books/1327955213m/2528.jpg,https://images.gr-assets.com/books/1327955213s/2528.jpg
52,"All-of-a-Kind Family (All-of-a-Kind Family, #1)",99,Sydney Taylor,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
53,"Allies of the Night (Cirque du Freak, #8)",98,Darren Shan,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
54,America (The Book): A Citizen's Guide to Democracy Inaction,100,"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
55,"American Gods (American Gods, #1)",99,Neil Gaiman,https://images.gr-assets.com/books/1258417001m/4407.jpg,https://images.gr-assets.com/books/1258417001s/4407.jpg
56,Amsterdam,95,Ian McEwan,https://images.gr-assets.com/books/1403191209m/6862.jpg,https://images.gr-assets.com/books/1403191209s/6862.jpg
57,An Ideal Husband,100,Oscar Wilde,https://images.gr-assets.com/books/1417045098m/5296.jpg,https://images.gr-assets.com/books/1417045098s/5296.jpg
58,Anansi Boys,100,Neil Gaiman,https://images.gr-assets.com/books/1479778049m/2744.jpg,https://images.gr-assets.com/books/1479778049s/2744.jpg
59,"Angels & Demons  (Robert Langdon, #1)",100,Dan Brown,https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg
60,Anil's Ghost,99,Michael Ondaatje,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
61,Animal Farm,100,George Orwell,https://images.gr-assets.com/books/1424037542m/7613.jpg,https://images.gr-assets.com/books/1424037542s/7613.jpg
62,Animal Farm / 1984,99,"George Orwell, Christopher Hitchens",https://images.gr-assets.com/books/1327959366m/5472.jpg,https://images.gr-assets.com/books/1327959366s/5472.jpg
63,Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family,100,"Miep Gies, Alison Leslie Gold",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
64,Anne Frank: Beyond the Diary - A Photographic Remembrance,100,"Ruud van der Rol, Rian Verhoeven, Anna Quindlen, Anne Frank, Tony Langham, Plym Peters",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
65,"Anne of Green Gables (Anne of Green Gables, #1)",99,L.M. Montgomery,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
66,Another Bullshit Night in Suck City,100,Nick Flynn,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
67,Another Roadside Attraction,83,Tom Robbins,https://images.gr-assets.com/books/1327866271m/9570.jpg,https://images.gr-assets.com/books/1327866271s/9570.jpg
68,Anthem,100,Ayn Rand,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
69,"Antigone (The Theban Plays, #3)",100,"Sophocles, J.E. Thomas",https://images.gr-assets.com/books/1486701308m/7728.jpg,https://images.gr-assets.com/books/1486701308s/7728.jpg
70,As the Crow Flies,97,Jeffrey Archer,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
71,Assassination Vacation,100,Sarah Vowell,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
72,Atlas Shrugged,100,"Ayn Rand, Leonard Peikoff",https://images.gr-assets.com/books/1405868167m/662.jpg,https://images.gr-assets.com/books/1405868167s/662.jpg
73,Atonement,93,Ian McEwan,https://images.gr-assets.com/books/1320449708m/6867.jpg,https://images.gr-assets.com/books/1320449708s/6867.jpg
74,Awakening the Buddha Within: Tibetan Wisdom for the Western World,99,Lama Surya Das,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
75,Bagombo Snuff Box,89,Kurt Vonnegut Jr.,https://images.gr-assets.com/books/1327353727m/4984.jpg,https://images.gr-assets.com/books/1327353727s/4984.jpg
76,Baltasar and Blimunda,100,"José Saramago, Giovanni Pontiero",https://images.gr-assets.com/books/1483229660m/2530.jpg,https://images.gr-assets.com/books/1483229660s/2530.jpg
77,Barrel Fever: Stories and Essays,99,David Sedaris,https://images.gr-assets.com/books/1453273003m/4143.jpg,https://images.gr-assets.com/books/1453273003s/4143.jpg
78,Bel Canto,100,Ann Patchett,https://images.gr-assets.com/books/1352997328m/5826.jpg,https://images.gr-assets.com/books/1352997328s/5826.jpg
79,Beloved,94,Toni Morrison,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
80,"Betsy-Tacy (Betsy-Tacy, #1)",100,"Maud Hart Lovelace, Lois Lenski",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
81,Birdsong,99,Sebastian Faulks,https://images.gr-assets.com/books/1349952101m/6259.jpg,https://images.gr-assets.com/books/1349952101s/6259.jpg
82,Black Beauty,100,Anna Sewell,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
83,Black and Blue,100,Anna Quindlen,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
84,"Bleach, Volume 01",99,Tite Kubo,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
85,"Bleach, Volume 15",99,Tite Kubo,https://images.gr-assets.com/books/1417981626m/2879.jpg,https://images.gr-assets.com/books/1417981626s/2879.jpg
86,Bleachers,99,John Grisham,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
87,"Blind Willow, Sleeping Woman",96,"Haruki Murakami, Philip Gabriel, Jay Rubin",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
88,Blindness,100,"José Saramago, Giovanni Pontiero",https://images.gr-assets.com/books/1327866409m/2526.jpg,https://images.gr-assets.com/books/1327866409s/2526.jpg
89,Blink,100,Ted Dekker,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
90,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,99,Donald Miller,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
91,Blue Ocean Strategy: How To Create Uncontested Market Space And Make The Competition Irrelevant,100,"W. Chan Kim, Renée Mauborgne",https://images.gr-assets.com/books/1416445924m/4898.jpg,https://images.gr-assets.com/books/1416445924s/4898.jpg
92,Bluebeard,87,Kurt Vonnegut Jr.,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
93,"Book of the Dead (Kay Scarpetta, #15)",99,Patricia Cornwell,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
94,Boy: Tales of Childhood,100,"Roald Dahl, Quentin Blake",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
95,Brave New World,100,Aldous Huxley,https://images.gr-assets.com/books/1487389574m/5129.jpg,https://images.gr-assets.com/books/1487389574s/5129.jpg
96,Brave New World / Brave New World Revisited,100,"Aldous Huxley, Christopher Hitchens",https://images.gr-assets.com/books/1331315450m/5479.jpg,https://images.gr-assets.com/books/1331315450s/5479.jpg
97,Brave New World Revisited ,100,Aldous Huxley,https://images.gr-assets.com/books/1410136964m/5481.jpg,https://images.gr-assets.com/books/1410136964s/5481.jpg
98,Breakfast of Champions,98,Kurt Vonnegut Jr.,https://images.gr-assets.com/books/1327934446m/4980.jpg,https://images.gr-assets.com/books/1327934446s/4980.jpg
99,Breaking the Spell: Religion as a Natural Phenomenon,100,Daniel C. Dennett,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
100,"Breath, Eyes, Memory",98,Edwidge Danticat,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
101,Bridge to Terabithia,100,Katherine Paterson,https://images.gr-assets.com/books/1327880087m/2839.jpg,https://images.gr-assets.com/books/1327880087s/2839.jpg
102,Brief Interviews with Hideous Men,98,David Foster Wallace,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
103,Brokeback Mountain,100,Annie Proulx,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
104,Built to Last: Successful Habits of Visionary Companies,99,"James C. Collins, Jerry I. Porras",https://images.gr-assets.com/books/1412047084m/4122.jpg,https://images.gr-assets.com/books/1412047084s/4122.jpg
105,Burmese Days,100,George Orwell,https://images.gr-assets.com/books/1415573403m/9650.jpg,https://images.gr-assets.com/books/1415573403s/9650.jpg
106,By the River Piedra I Sat Down and Wept,100,"Paulo Coelho, Alan R. Clarke",https://images.gr-assets.com/books/1466877798m/1428.jpg,https://images.gr-assets.com/books/1466877798s/1428.jpg
107,"By the Shores of Silver Lake  (Little House, #5)",84,"Laura Ingalls Wilder, Garth Williams",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
108,Cane River,100,Lalita Tademy,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
109,Cannery Row,99,John Steinbeck,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
110,Carrie / 'Salem's Lot / The Shining,100,Stephen King,https://images.gr-assets.com/books/1376725117m/5417.jpg,https://images.gr-assets.com/books/1376725117s/5417.jpg
111,Carter Beats the Devil,100,Glen David Gold,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
112,"Casino Royale (James Bond, #1)",100,Ian Fleming,https://images.gr-assets.com/books/1497801490m/3758.jpg,https://images.gr-assets.com/books/1497801490s/3758.jpg
113,"Cause of Death (Kay Scarpetta, #7)",98,Patricia Cornwell,https://images.gr-assets.com/books/1327632787m/6541.jpg,https://images.gr-assets.com/books/1327632787s/6541.jpg
114,Chapterhouse: Dune (Dune Chronicles #6),99,Frank Herbert,https://images.gr-assets.com/books/1260954505m/105.jpg,https://images.gr-assets.com/books/1260954505s/105.jpg
115,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",100,"Roald Dahl, Quentin Blake",https://images.gr-assets.com/books/1309211401m/6310.jpg,https://images.gr-assets.com/books/1309211401s/6310.jpg
116,"Charlie and the Great Glass Elevator (Charlie Bucket, #2)",98,"Roald Dahl, Quentin Blake",https://images.gr-assets.com/books/1309211607m/6687.jpg,https://images.gr-assets.com/books/1309211607s/6687.jpg
117,Children of Dune (Dune Chronicles #3),100,Frank Herbert,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
118,"City of Glass (The New York Trilogy, #1)",100,Paul Auster,https://images.gr-assets.com/books/1309986722m/432.jpg,https://images.gr-assets.com/books/1309986722s/432.jpg
119,"City of the Beasts (Eagle and Jaguar, #1)",100,"Isabel Allende, Margaret Sayers Peden",https://images.gr-assets.com/books/1331488122m/3304.jpg,https://images.gr-assets.com/books/1331488122s/3304.jpg
120,Cloudy With a Chance of Meatballs,100,"Judi Barrett, Ron Barrett",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
121,Code to Zero,100,Ken Follett,https://images.gr-assets.com/books/1309209804m/5052.jpg,https://images.gr-assets.com/books/1309209804s/5052.jpg
122,Collapse: How Societies Choose to Fail or Succeed,98,Jared Diamond,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
123,Comfort Me with Apples: More Adventures at the Table,99,Ruth Reichl,https://images.gr-assets.com/books/1339885200m/8725.jpg,https://images.gr-assets.com/books/1339885200s/8725.jpg
124,Complete Works of Oscar Wilde,100,"Oscar Wilde, Merlin Holland",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
125,Complications: A Surgeon's Notes on an Imperfect Science,100,"Atul Gawande, Susanne Kuhlmann-Krieg",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
126,"Confessions of a Shopaholic (Shopaholic, #1)",71,Sophie Kinsella,https://images.gr-assets.com/books/1327872404m/9416.jpg,https://images.gr-assets.com/books/1327872404s/9416.jpg
127,Confessions of an Economic Hit Man,100,John Perkins,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
128,Congo,100,Michael Crichton,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
129,Consider the Lobster and Other Essays,97,David Foster Wallace,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
130,Corelli's Mandolin,100,Louis de Bernières,https://images.gr-assets.com/books/1479680795m/3388.jpg,https://images.gr-assets.com/books/1479680795s/3388.jpg
